caldt,mkt,ewmkt
1926-01-30,0.000561,0.023174
1926-02-27,-0.033046,-0.05351
1926-03-31,-0.064002,-0.096824
1926-04-30,0.037029,0.032975
1926-05-28,0.012095,0.001035
1926-06-30,0.053664,0.050487
1926-07-31,0.031411,0.013051
1926-08-31,0.028647,0.031002
1926-09-30,0.005787,-0.006499
1926-10-30,-0.028996,-0.03463
1926-11-30,0.028554,0.024776
1926-12-31,0.029211,0.025516
1927-01-31,0.002416,0.012556
1927-02-28,0.04537,0.055748
1927-03-31,0.003756,-0.01929
1927-04-30,0.007225,0.007494
1927-05-31,0.057773,0.062691
1927-06-30,-0.021087,-0.019708
1927-07-30,0.075279,0.05808
1927-08-31,0.02249,0.004247
1927-09-30,0.049924,0.032308
1927-10-31,-0.04077,-0.038529
1927-11-30,0.068453,0.097758
1927-12-31,0.023782,0.029677
1928-01-31,-0.00334,0.032441
1928-02-29,-0.014478,-0.022508
1928-03-31,0.090478,0.071583
1928-04-30,0.043846,0.087466
1928-05-31,0.01769,0.037591
1928-06-30,-0.045245,-0.069074
1928-07-31,0.0094,0.003047
1928-08-31,0.070206,0.058396
1928-09-29,0.031498,0.049244
1928-10-31,0.019228,0.017469
1928-11-30,0.1215,0.115202
1928-12-31,0.005557,-0.005552
1929-01-31,0.053935,0.033526
1929-02-28,-0.000446,0.006487
1929-03-28,-0.007808,-0.032105
1929-04-30,0.017179,0.014024
1929-05-31,-0.059923,-0.091046
1929-06-29,0.101573,0.073428
1929-07-31,0.045958,0.018561
1929-08-30,0.085343,0.028368
1929-09-30,-0.050455,-0.04373
1929-10-31,-0.196684,-0.212145
1929-11-27,-0.123812,-0.122533
1929-12-31,0.01639,-0.025598
1930-01-31,0.058407,0.109826
1930-02-28,0.028242,0.033599
1930-03-31,0.074631,0.103754
1930-04-30,-0.020541,-0.0416
1930-05-29,-0.01401,-0.037227
1930-06-30,-0.15998,-0.188159
1930-07-31,0.041964,0.037631
1930-08-29,0.003663,-0.017319
1930-09-30,-0.124805,-0.150475
1930-10-31,-0.086579,-0.096057
1930-11-29,-0.028057,-0.024128
1930-12-31,-0.077739,-0.136846
1931-01-31,0.063781,0.141091
1931-02-28,0.109695,0.156753
1931-03-31,-0.062866,-0.061871
1931-04-30,-0.100219,-0.15087
1931-05-29,-0.133835,-0.140379
1931-06-30,0.14034,0.18217
1931-07-31,-0.066438,-0.070214
1931-08-31,0.003078,-0.018724
1931-09-30,-0.291731,-0.312753
1931-10-31,0.081509,0.105333
1931-11-30,-0.088402,-0.088217
1931-12-31,-0.134971,-0.187239
1932-01-30,-0.010534,0.08592
1932-02-29,0.057663,0.022732
1932-03-31,-0.110599,-0.119564
1932-04-30,-0.179417,-0.181056
1932-05-31,-0.206198,-0.202303
1932-06-30,-0.004289,0.041277
1932-07-30,0.340643,0.433499
1932-08-31,0.371388,0.668096
1932-09-30,-0.028649,-0.059442
1932-10-31,-0.132553,-0.164792
1932-11-30,-0.05826,-0.073874
1932-12-31,0.045227,-0.036622
1933-01-31,0.009813,0.035884
1933-02-28,-0.153204,-0.155443
1933-03-31,0.033105,0.100121
1933-04-29,0.394143,0.518249
1933-05-31,0.213261,0.605986
1933-06-30,0.133364,0.22643
1933-07-31,-0.096342,-0.092417
1933-08-31,0.121285,0.114552
1933-09-30,-0.105836,-0.150009
1933-10-31,-0.08365,-0.107887
1933-11-29,0.099896,0.065094
1933-12-30,0.017876,0.017242
1934-01-31,0.126779,0.315546
1934-02-28,-0.024287,0.010863
1934-03-31,0.004425,0.008062
1934-04-30,-0.018345,0.000264
1934-05-31,-0.072273,-0.10724
1934-06-30,0.025345,0.003578
1934-07-31,-0.109363,-0.186037
1934-08-31,0.057043,0.098561
1934-09-29,-0.002362,-0.011748
1934-10-31,-0.018895,-0.01923
1934-11-30,0.082096,0.128705
1934-12-31,0.003554,0.014735
1935-01-31,-0.033416,-0.029663
1935-02-28,-0.019462,-0.056016
1935-03-30,-0.036013,-0.073353
1935-04-30,0.090452,0.101628
1935-05-31,0.034561,0.024401
1935-06-29,0.057796,0.040189
1935-07-31,0.07416,0.110382
1935-08-31,0.026773,0.083084
1935-09-30,0.026074,0.023798
1935-10-31,0.069439,0.082776
1935-11-30,0.052872,0.145782
1935-12-31,0.046926,0.060243
1936-01-31,0.069559,0.150165
1936-02-29,0.025402,0.045619
1936-03-31,0.008253,0.005947
1936-04-30,-0.081481,-0.122963
1936-05-29,0.052043,0.051218
1936-06-30,0.024671,-0.000325
1936-07-31,0.065954,0.08193
1936-08-31,0.01095,0.021447
1936-09-30,0.011899,0.032668
1936-10-31,0.069986,0.063755
1936-11-30,0.032855,0.091427
1936-12-31,0.002796,0.027306
1937-01-30,0.033258,0.076221
1937-02-27,0.013114,0.023904
1937-03-31,-0.002732,0.001065
1937-04-30,-0.075416,-0.101024
1937-05-28,-0.007054,-0.024524
1937-06-30,-0.041748,-0.076702
1937-07-31,0.089725,0.099611
1937-08-31,-0.048365,-0.052749
1937-09-30,-0.136623,-0.193182
1937-10-30,-0.095798,-0.101549
1937-11-30,-0.083053,-0.108638
1937-12-31,-0.040774,-0.099215
1938-01-31,0.006776,0.04206
1938-02-28,0.058013,0.061061
1938-03-31,-0.238416,-0.285564
1938-04-30,0.145963,0.206199
1938-05-31,-0.039053,-0.070462
1938-06-30,0.237914,0.306353
1938-07-30,0.072097,0.121836
1938-08-31,-0.027139,-0.063787
1938-09-30,0.008912,-0.014633
1938-10-31,0.078927,0.144539
1938-11-30,-0.018206,-0.036531
1938-12-31,0.04192,0.033472
1939-01-31,-0.060381,-0.075729
1939-02-28,0.035255,0.041384
1939-03-31,-0.120727,-0.173763
1939-04-29,-0.001932,0.002429
1939-05-31,0.068971,0.086137
1939-06-30,-0.053626,-0.083303
1939-07-31,0.102243,0.135497
1939-08-31,-0.067264,-0.106495
1939-09-30,0.161815,0.391878
1939-10-31,-0.004191,-0.006939
1939-11-30,-0.037131,-0.081311
1939-12-30,0.029686,0.017811
1940-01-31,-0.024215,-0.019978
1940-02-29,0.014758,0.029733
1940-03-30,0.018643,0.026168
1940-04-30,0.000837,0.013115
1940-05-31,-0.221112,-0.269754
1940-06-29,0.066856,0.06655
1940-07-31,0.031923,0.036805
1940-08-31,0.024296,0.023221
1940-09-30,0.023118,0.037208
1940-10-31,0.030143,0.049218
1940-11-30,-0.016753,-0.001669
1940-12-31,0.006586,-0.018789
1941-01-31,-0.041227,-0.007317
1941-02-28,-0.013801,-0.019409
1941-03-31,0.009515,0.014308
1941-04-30,-0.054018,-0.057382
1941-05-31,0.013141,0.010105
1941-06-30,0.058495,0.066908
1941-07-31,0.059543,0.130139
1941-08-30,-0.001156,-0.00718
1941-09-30,-0.007611,-0.020448
1941-10-31,-0.052926,-0.06203
1941-11-29,-0.020271,-0.034209
1941-12-31,-0.046692,-0.081886
1942-01-31,0.008979,0.130813
1942-02-28,-0.023651,-0.017579
1942-03-31,-0.065145,-0.05224
1942-04-30,-0.043583,-0.04626
1942-05-29,0.060174,0.028879
1942-06-30,0.025772,0.025086
1942-07-31,0.035327,0.046405
1942-08-31,0.018408,0.028304
1942-09-30,0.027069,0.047557
1942-10-31,0.069088,0.101293
1942-11-30,0.001177,-0.013177
1942-12-31,0.05129,0.035555
1943-01-30,0.073382,0.168551
1943-02-27,0.060478,0.13093
1943-03-31,0.061795,0.112135
1943-04-30,0.007333,0.035466
1943-05-29,0.057142,0.084513
1943-06-30,0.017351,0.010979
1943-07-31,-0.047753,-0.064335
1943-08-31,0.013444,0.003373
1943-09-30,0.024077,0.034867
1943-10-30,-0.011573,-0.003943
1943-11-30,-0.059903,-0.088585
1943-12-31,0.064217,0.09873
1944-01-31,0.01803,0.045949
1944-02-29,0.003459,0.013018
1944-03-31,0.024768,0.041526
1944-04-29,-0.016484,-0.029289
1944-05-31,0.050909,0.066135
1944-06-30,0.056842,0.104935
1944-07-31,-0.015194,-0.012724
1944-08-31,0.015597,0.030082
1944-09-30,0.000453,0.000252
1944-10-31,0.002119,0.000953
1944-11-30,0.016668,0.023183
1944-12-30,0.04107,0.069303
1945-01-31,0.020218,0.043353
1945-02-28,0.064477,0.086339
1945-03-31,-0.039177,-0.056802
1945-04-30,0.078232,0.088844
1945-05-31,0.018185,0.030017
1945-06-30,0.004676,0.036565
1945-07-31,-0.022066,-0.035068
1945-08-31,0.061826,0.065928
1945-09-29,0.048297,0.062646
1945-10-31,0.038749,0.064522
1945-11-30,0.054859,0.097574
1945-12-31,0.013003,0.024073
1946-01-31,0.063402,0.094677
1946-02-28,-0.058257,-0.066906
1946-03-30,0.057941,0.057922
1946-04-30,0.042293,0.052109
1946-05-31,0.040195,0.054749
1946-06-28,-0.038668,-0.048887
1946-07-31,-0.026309,-0.040842
1946-08-30,-0.064468,-0.075327
1946-09-30,-0.102023,-0.135552
1946-10-31,-0.014164,-0.011814
1946-11-30,0.000697,-0.002634
1946-12-31,0.050161,0.046908
1947-01-31,0.013084,0.030197
1947-02-28,-0.011091,-0.007105
1947-03-31,-0.01679,-0.030426
1947-04-30,-0.047698,-0.08168
1947-05-29,-0.009625,-0.037321
1947-06-30,0.053227,0.057096
1947-07-31,0.041348,0.06167
1947-08-29,-0.017357,-0.017166
1947-09-30,-0.004667,0.005783
1947-10-31,0.024831,0.033157
1947-11-29,-0.01875,-0.029305
1947-12-31,0.030708,0.023863
1948-01-31,-0.037908,-0.016276
1948-02-28,-0.043422,-0.059451
1948-03-31,0.082628,0.095843
1948-04-30,0.038128,0.040151
1948-05-28,0.074319,0.08763
1948-06-30,-0.00028,-0.012534
1948-07-30,-0.050288,-0.053733
1948-08-31,0.003762,-0.001818
1948-09-30,-0.029813,-0.042785
1948-10-30,0.060316,0.053201
1948-11-30,-0.092077,-0.10632
1948-12-31,0.032566,0.013703
1949-01-31,0.003074,0.017749
1949-02-28,-0.028852,-0.041302
1949-03-31,0.041538,0.059309
1949-04-30,-0.017972,-0.03149
1949-05-31,-0.028488,-0.043168
1949-06-30,0.00218,-0.007713
1949-07-29,0.056377,0.062022
1949-08-31,0.026916,0.02602
1949-09-30,0.032082,0.043249
1949-10-31,0.031801,0.039025
1949-11-30,0.018535,0.0094
1949-12-31,0.052267,0.07012
1950-01-31,0.017764,0.040293
1950-02-28,0.015234,0.016102
1950-03-31,0.012742,-0.00177
1950-04-29,0.040678,0.047443
1950-05-31,0.044173,0.033185
1950-06-30,-0.058018,-0.075737
1950-07-31,0.016122,0.050635
1950-08-31,0.050875,0.051892
1950-09-29,0.049044,0.055013
1950-10-31,-0.001184,-0.005504
1950-11-30,0.029056,0.031622
1950-12-30,0.057946,0.084545
1951-01-31,0.058735,0.076248
1951-02-28,0.014086,0.011586
1951-03-31,-0.021115,-0.03389
1951-04-30,0.050061,0.040814
1951-05-31,-0.022464,-0.02492
1951-06-29,-0.025533,-0.044929
1951-07-31,0.071611,0.063332
1951-08-31,0.045004,0.047438
1951-09-28,0.009087,0.023631
1951-10-31,-0.022629,-0.023609
1951-11-30,0.006193,0.007185
1951-12-31,0.035266,0.015248
1952-01-31,0.017002,0.017491
1952-02-29,-0.025141,-0.02065
1952-03-31,0.04587,0.028864
1952-04-30,-0.049148,-0.044936
1952-05-29,0.032847,0.024515
1952-06-30,0.039575,0.030728
1952-07-31,0.011404,0.010652
1952-08-29,-0.006733,5.6e-05
1952-09-30,-0.019147,-0.01516
1952-10-31,-0.005309,-0.011717
1952-11-28,0.059347,0.055644
1952-12-31,0.031066,0.022641
1953-01-30,-0.001644,0.024706
1953-02-27,-0.00182,0.012031
1953-03-31,-0.012862,-0.010486
1953-04-30,-0.027705,-0.024027
1953-05-29,0.006921,0.005896
1953-06-30,-0.016377,-0.031671
1953-07-31,0.025111,0.017571
1953-08-31,-0.044056,-0.051874
1953-09-30,0.00301,-0.011005
1953-10-30,0.047523,0.037834
1953-11-30,0.028501,0.021317
1953-12-31,0.000678,-0.015444
1954-01-29,0.052722,0.071683
1954-02-26,0.017551,0.013576
1954-03-31,0.037377,0.02915
1954-04-30,0.043162,0.016373
1954-05-28,0.031704,0.043151
1954-06-30,0.01156,0.012275
1954-07-30,0.050668,0.071989
1954-08-31,-0.022763,-0.009175
1954-09-30,0.064633,0.044308
1954-10-29,-0.016216,-0.00686
1954-11-30,0.095387,0.092199
1954-12-31,0.055469,0.087724
1955-01-31,0.006838,0.014124
1955-02-28,0.031354,0.042781
1955-03-31,-0.000995,0.00053
1955-04-29,0.032352,0.022598
1955-05-31,0.012033,0.007814
1955-06-30,0.066108,0.034694
1955-07-29,0.020246,0.008001
1955-08-31,0.004197,0.005764
1955-09-30,-0.002009,-0.007751
1955-10-31,-0.025752,-0.017815
1955-11-30,0.071864,0.055257
1955-12-30,0.016543,0.022836
1956-01-31,-0.02812,-0.020746
1956-02-29,0.03961,0.033613
1956-03-29,0.068456,0.051383
1956-04-30,0.005083,0.003827
1956-05-31,-0.049309,-0.039964
1956-06-29,0.037251,0.021712
1956-07-31,0.05083,0.039967
1956-08-31,-0.02982,-0.018161
1956-09-28,-0.049608,-0.035938
1956-10-31,0.007292,0.007063
1956-11-30,0.004678,0.005277
1956-12-31,0.034957,0.023122
1957-01-31,-0.032121,0.003613
1957-02-28,-0.018703,-0.023299
1957-03-29,0.024112,0.022499
1957-04-30,0.045179,0.025909
1957-05-31,0.036679,0.022263
1957-06-28,-0.005054,-0.006747
1957-07-31,0.008938,0.00561
1957-08-30,-0.050051,-0.05019
1957-09-30,-0.057586,-0.052982
1957-10-31,-0.041251,-0.065213
1957-11-29,0.025605,0.021027
1957-12-31,-0.037361,-0.049129
1958-01-31,0.049595,0.106481
1958-02-28,-0.014257,-0.011845
1958-03-31,0.0337,0.035918
1958-04-30,0.030833,0.030171
1958-05-29,0.024582,0.039475
1958-06-30,0.029493,0.031729
1958-07-31,0.044844,0.054168
1958-08-29,0.019181,0.029878
1958-09-30,0.04868,0.052239
1958-10-31,0.027184,0.032975
1958-11-28,0.03061,0.042114
1958-12-31,0.0531,0.03879
1959-01-30,0.00912,0.041502
1959-02-27,0.01122,0.028113
1959-03-31,0.004669,0.012223
1959-04-30,0.037899,0.025714
1959-05-29,0.019595,0.008206
1959-06-30,0.000676,0.004149
1959-07-31,0.034362,0.030062
1959-08-31,-0.012446,-0.014839
1959-09-30,-0.044977,-0.04576
1959-10-30,0.015746,0.023206
1959-11-30,0.018557,0.01504
1959-12-31,0.028043,0.021177
1960-01-29,-0.066244,-0.039202
1960-02-29,0.014419,0.008478
1960-03-31,-0.012822,-0.024876
1960-04-29,-0.015271,-0.01973
1960-05-31,0.034098,0.025546
1960-06-30,0.022833,0.021609
1960-07-29,-0.022705,-0.019598
1960-08-31,0.032215,0.037948
1960-09-30,-0.058673,-0.059525
1960-10-31,-0.004705,-0.02323
1960-11-30,0.048617,0.046494
1960-12-30,0.048537,0.037495
1961-01-31,0.063952,0.082048
1961-02-28,0.037005,0.06013
1961-03-30,0.03061,0.049888
1961-04-28,0.005645,0.009487
1961-05-31,0.025894,0.041572
1961-06-30,-0.028499,-0.042415
1961-07-31,0.029955,0.011517
1961-08-31,0.026854,0.021358
1961-09-29,-0.01999,-0.029686
1961-10-31,0.027331,0.020988
1961-11-30,0.045451,0.046461
1961-12-29,0.000713,-0.003757
1962-01-31,-0.036147,-0.007807
1962-02-28,0.019512,0.015405
1962-03-30,-0.004688,-0.006241
1962-04-30,-0.063435,-0.068134
1962-05-31,-0.08462,-0.098186
1962-06-29,-0.082615,-0.085125
1962-07-31,0.065438,0.064
1962-08-31,0.023417,0.037308
1962-09-28,-0.050158,-0.064045
1962-10-31,0.002188,-0.039485
1962-11-30,0.110137,0.121176
1962-12-31,0.011865,-0.025561
1963-01-31,0.051848,0.08914
1963-02-28,-0.021931,-0.014477
1963-03-29,0.032917,0.012027
1963-04-30,0.047439,0.02689
1963-05-31,0.020051,0.032306
1963-06-28,-0.018031,-0.010383
1963-07-31,-0.001717,-0.006304
1963-08-30,0.052684,0.042305
1963-09-30,-0.011898,-0.010373
1963-10-31,0.027708,0.012208
1963-11-29,-0.005549,-0.016139
1963-12-31,0.021737,-0.004228
1964-01-31,0.02579,0.032092
1964-02-28,0.017207,0.025173
1964-03-31,0.017636,0.02551
1964-04-30,0.004607,0.001004
1964-05-28,0.017403,0.007507
1964-06-30,0.01508,0.010411
1964-07-31,0.020118,0.030162
1964-08-31,-0.011266,-0.006038
1964-09-30,0.03048,0.038248
1964-10-30,0.008869,0.018821
1964-11-30,0.00309,-0.000516
1964-12-31,0.00369,-0.012365
1965-01-29,0.038646,0.071403
1965-02-26,0.006946,0.032315
1965-03-31,-0.009715,0.015393
1965-04-30,0.033652,0.04156
1965-05-28,-0.004351,-0.005845
1965-06-30,-0.051868,-0.083718
1965-07-30,0.01676,0.028634
1965-08-31,0.030883,0.041844
1965-09-30,0.031952,0.02742
1965-10-29,0.029271,0.058679
1965-11-30,0.003065,0.046544
1965-12-31,0.013545,0.042981
1966-01-31,0.012122,0.06417
1966-02-28,-0.008621,0.028865
1966-03-31,-0.020923,-0.008889
1966-04-29,0.024837,0.046619
1966-05-31,-0.052538,-0.086024
1966-06-30,-0.010317,-0.004988
1966-07-29,-0.01287,-0.016316
1966-08-31,-0.075388,-0.100714
1966-09-30,-0.006958,-0.018161
1966-10-31,0.042294,-0.014385
1966-11-30,0.017516,0.040725
1966-12-30,0.00621,0.017306
1967-01-31,0.08553,0.172103
1967-02-28,0.010945,0.042368
1967-03-31,0.043384,0.058244
1967-04-28,0.041609,0.041928
1967-05-31,-0.039293,-0.008098
1967-06-30,0.026902,0.081958
1967-07-31,0.04919,0.083251
1967-08-31,-0.006282,0.006312
1967-09-29,0.034286,0.062963
1967-10-31,-0.027433,-0.020594
1967-11-30,0.007902,0.000878
1967-12-29,0.033699,0.080465
1968-01-31,-0.036331,0.023902
1968-02-29,-0.033624,-0.056118
1968-03-29,0.005117,-0.011218
1968-04-30,0.094148,0.143031
1968-05-31,0.02704,0.091309
1968-06-28,0.011527,0.016225
1968-07-30,-0.022024,-0.02621
1968-08-30,0.018037,0.035918
1968-09-30,0.044454,0.068808
1968-10-31,0.009042,0.006913
1968-11-29,0.058501,0.071994
1968-12-31,-0.033873,0.005896
1969-01-31,-0.006711,-0.001688
1969-02-28,-0.053641,-0.085728
1969-03-28,0.030505,0.02029
1969-04-30,0.020527,0.003459
1969-05-29,0.00504,0.006262
1969-06-30,-0.067388,-0.113404
1969-07-31,-0.065171,-0.095823
1969-08-29,0.051491,0.052175
1969-09-30,-0.02259,-0.024618
1969-10-31,0.055638,0.092413
1969-11-28,-0.032164,-0.055078
1969-12-31,-0.01968,-0.066178
1970-01-30,-0.073254,-0.03883
1970-02-27,0.056706,0.040196
1970-03-31,-0.004729,-0.023712
1970-04-30,-0.105318,-0.161962
1970-05-29,-0.064346,-0.090525
1970-06-30,-0.051067,-0.073888
1970-07-31,0.07417,0.059258
1970-08-31,0.050036,0.061618
1970-09-30,0.047535,0.126098
1970-10-30,-0.018208,-0.058604
1970-11-30,0.050449,0.003021
1970-12-31,0.060723,0.081324
1971-01-29,0.05203,0.136096
1971-02-26,0.016913,0.04791
1971-03-31,0.044778,0.056603
1971-04-30,0.033332,0.027087
1971-05-28,-0.036409,-0.049436
1971-06-30,0.003119,-0.01724
1971-07-30,-0.040283,-0.053634
1971-08-31,0.042511,0.041159
1971-09-30,-0.005016,-0.004653
1971-10-29,-0.040683,-0.057468
1971-11-30,-0.001262,-0.03415
1971-12-31,0.091257,0.117128
1972-01-31,0.028382,0.103892
1972-02-29,0.031349,0.041809
1972-03-30,0.008723,-0.000951
1972-04-28,0.005505,0.001231
1972-05-31,0.016376,-0.018121
1972-06-30,-0.020897,-0.033775
1972-07-31,-0.004254,-0.029488
1972-08-31,0.035966,0.012252
1972-09-29,-0.00767,-0.030725
1972-10-31,0.008676,-0.013767
1972-11-30,0.049764,0.051096
1972-12-29,0.011243,-0.019873
1973-01-31,-0.027454,-0.026131
1973-02-28,-0.04437,-0.072835
1973-03-30,-0.007857,-0.028976
1973-04-30,-0.051769,-0.07062
1973-05-31,-0.024508,-0.083582
1973-06-29,-0.008648,-0.037745
1973-07-31,0.056961,0.105922
1973-08-31,-0.029657,-0.044417
1973-09-28,0.053931,0.072995
1973-10-31,-0.000415,0.000303
1973-11-30,-0.120713,-0.175252
1973-12-31,0.011437,-0.041764
1974-01-31,0.004413,0.132374
1974-02-28,0.002345,0.008623
1974-03-29,-0.023364,0.008379
1974-04-30,-0.045961,-0.055537
1974-05-31,-0.041981,-0.072545
1974-06-28,-0.022942,-0.033483
1974-07-31,-0.070874,-0.051915
1974-08-30,-0.087757,-0.085788
1974-09-30,-0.109718,-0.079025
1974-10-31,0.165584,0.088877
